var_name,var_type,value,fractional_flag
Y_Patch1_Beef,C,0.0,False
Y_Patch1_Chicken,C,0.0,False
Y_Patch1_Egg,C,0.0,False
Y_Patch1_Lamb,C,0.0,False
Y_Patch1_Pork,C,0.0,False
Y_Patch1_Apple,C,0.0,False
Y_Patch1_Avocado,C,0.0,False
Y_Patch1_Banana,C,0.0,False
Y_Patch1_Durian,C,0.0,False
Y_Patch1_Guava,C,0.0,False
Y_Patch1_Mango,C,0.0,False
Y_Patch1_Orange,C,0.0,False
Y_Patch1_Papaya,C,0.0,False
Y_Patch1_Watermelon,C,0.0,False
Y_Patch1_Chickpeas,C,0.0,False
Y_Patch1_Peanuts,C,0.0,False
Y_Patch1_Tempeh,C,0.0,False
Y_Patch1_Tofu,C,0.0,False
Y_Patch1_Corn,C,0.0,False
Y_Patch1_Potato,C,0.0,False
Y_Patch1_Cabbage,C,0.0,False
Y_Patch1_Cucumber,C,0.0,False
Y_Patch1_Eggplant,C,0.0,False
Y_Patch1_Long_bean,C,0.0,False
Y_Patch1_Pumpkin,C,0.0,False
Y_Patch1_Spinach,C,1.0,False
Y_Patch1_Tomatoes,C,0.0,False
Y_Patch2_Beef,C,0.0,False
Y_Patch2_Chicken,C,0.0,False
Y_Patch2_Egg,C,0.0,False
Y_Patch2_Lamb,C,0.0,False
Y_Patch2_Pork,C,0.0,False
Y_Patch2_Apple,C,0.0,False
Y_Patch2_Avocado,C,0.0,False
Y_Patch2_Banana,C,0.0,False
Y_Patch2_Durian,C,0.0,False
Y_Patch2_Guava,C,0.0,False
Y_Patch2_Mango,C,0.0,False
Y_Patch2_Orange,C,0.0,False
Y_Patch2_Papaya,C,0.0,False
Y_Patch2_Watermelon,C,0.0,False
Y_Patch2_Chickpeas,C,0.0,False
Y_Patch2_Peanuts,C,0.0,False
Y_Patch2_Tempeh,C,0.0,False
Y_Patch2_Tofu,C,0.0,False
Y_Patch2_Corn,C,0.0,False
Y_Patch2_Potato,C,0.0,False
Y_Patch2_Cabbage,C,0.0,False
Y_Patch2_Cucumber,C,0.0,False
Y_Patch2_Eggplant,C,0.0,False
Y_Patch2_Long_bean,C,0.0,False
Y_Patch2_Pumpkin,C,0.0,False
