            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [30s] Best: 8.0392, Bound: 8.3815, Gap: 4.26%
            [90s] Best: 8.0392, Bound: 8.3814, Gap: 4.26%
            [90s] Best: 8.0392, Bound: 8.3814, Gap: 4.26%
            [90s] Best: 8.0392, Bound: 8.3814, Gap: 4.26%
            [90s] Best: 8.0392, Bound: 8.3814, Gap: 4.26%
            [90s] Best: 8.0392, Bound: 8.3814, Gap: 4.26%
            [90s] Best: 8.0392, Bound: 8.3814, Gap: 4.26%
            [90s] Best: 8.0392, Bound: 8.3814, Gap: 4.26%
